Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:35:09.911;0,0682779;24.04.2023 22:35:09.943;12,9836426;
24.04.2023 22:35:09.975;0,068564;24.04.2023 22:35:10.007;12,9836426;
24.04.2023 22:35:10.039;0,0688926;24.04.2023 22:35:10.071;12,9836426;
24.04.2023 22:35:10.103;0,0692711;24.04.2023 22:35:10.135;12,9836426;
24.04.2023 22:35:10.167;0,069635;24.04.2023 22:35:10.199;12,9836426;
24.04.2023 22:35:10.231;0,0699994;24.04.2023 22:35:10.263;12,9836426;
24.04.2023 22:35:10.295;0,0704028;24.04.2023 22:35:10.327;12,9836426;
24.04.2023 22:35:10.359;0,0709505;24.04.2023 22:35:10.390;12,9836426;
24.04.2023 22:35:10.422;0,0713773;24.04.2023 22:35:10.454;12,9836426;
24.04.2023 22:35:10.486;0,0718096;24.04.2023 22:35:10.518;12,9836426;
24.04.2023 22:35:10.555;0,0726147;24.04.2023 22:35:10.589;12,9836426;
24.04.2023 22:35:10.621;0,0730707;24.04.2023 22:35:10.653;12,9836426;
24.04.2023 22:35:10.685;0,0734142;24.04.2023 22:35:10.717;12,9836426;
24.04.2023 22:35:10.749;0,0737831;24.04.2023 22:35:10.781;12,9836426;
24.04.2023 22:35:10.813;0,0743555;24.04.2023 22:35:10.845;12,9836426;
24.04.2023 22:35:10.877;0,0747668;24.04.2023 22:35:10.909;12,9836426;
24.04.2023 22:35:10.941;0,0752195;24.04.2023 22:35:10.973;12,9836426;
24.04.2023 22:35:11.005;0,0756567;24.04.2023 22:35:11.037;12,9836426;
24.04.2023 22:35:11.069;0,0760524;24.04.2023 22:35:11.101;12,9836426;
24.04.2023 22:35:11.133;0,0764267;24.04.2023 22:35:11.165;12,9836426;
24.04.2023 22:35:11.207;0,0768531;24.04.2023 22:35:11.229;12,9836426;
24.04.2023 22:35:11.261;0,0771575;24.04.2023 22:35:11.293;12,9836426;
24.04.2023 22:35:11.325;0,0774954;24.04.2023 22:35:11.357;12,9836426;
24.04.2023 22:35:11.389;0,07789;24.04.2023 22:35:11.422;12,9836426;
24.04.2023 22:35:11.453;0,0783411;24.04.2023 22:35:11.484;12,9836426;
24.04.2023 22:35:11.516;0,0786825;24.04.2023 22:35:11.548;12,9836426;
24.04.2023 22:35:11.580;0,0791158;24.04.2023 22:35:11.612;12,9836426;
24.04.2023 22:35:11.644;0,0794529;24.04.2023 22:35:11.676;12,9836426;
24.04.2023 22:35:11.708;0,0797855;24.04.2023 22:35:11.740;12,9836426;
24.04.2023 22:35:11.772;0,0801451;24.04.2023 22:35:11.804;12,9836426;
24.04.2023 22:35:11.836;0,0804625;24.04.2023 22:35:11.868;12,9836426;
24.04.2023 22:35:11.900;0,0810033;24.04.2023 22:35:11.932;12,9724121;
24.04.2023 22:35:11.964;0,0813918;24.04.2023 22:35:11.997;12,9724121;
24.04.2023 22:35:12.028;0,0819069;24.04.2023 22:35:12.060;12,9724121;
24.04.2023 22:35:12.092;0,082335;24.04.2023 22:35:12.124;12,9724121;
24.04.2023 22:35:12.156;0,0829115;24.04.2023 22:35:12.188;12,9724121;
24.04.2023 22:35:12.220;0,0833655;24.04.2023 22:35:12.252;12,9724121;
24.04.2023 22:35:12.284;0,0837469;24.04.2023 22:35:12.316;12,9724121;
24.04.2023 22:35:12.348;0,0842508;24.04.2023 22:35:12.380;12,9724121;
24.04.2023 22:35:12.412;0,0846502;24.04.2023 22:35:12.444;12,9724121;
24.04.2023 22:35:12.476;0,0850868;24.04.2023 22:35:12.507;12,9724121;
24.04.2023 22:35:12.539;0,0855527;24.04.2023 22:35:12.571;12,9724121;
24.04.2023 22:35:12.603;0,0859639;24.04.2023 22:35:12.637;12,9724121;
24.04.2023 22:35:12.668;0,0863741;24.04.2023 22:35:12.700;12,9724121;
24.04.2023 22:35:12.731;0,0867545;24.04.2023 22:35:12.763;12,9724121;
24.04.2023 22:35:12.795;0,0871553;24.04.2023 22:35:12.827;12,9724121;
24.04.2023 22:35:12.859;0,0877112;24.04.2023 22:35:12.891;12,9724121;
24.04.2023 22:35:12.923;0,0880797;24.04.2023 22:35:12.955;13,0300293;
